Equipment Name,Facility Name,Facility code,Part of Equipment,Equipment code,Description,Group,Equipment Class,Engineering Group,Sub Group,Criticality,Equipment Load,Owner,Equipment Status,Parent Equipment,Machine Status,eqpmAttribute1,Last WO Date,SM Description,Next Schedule Date,Equipment Image,Approved By,Approved Time
10 '' TYRE FITMENT FIXTURE,Tyrebuilding,ETL-GPD-SRT-TBL,,10FITFIX01,"10"" TYRE FITMENT FIXTURE",Fixtures,Non AMC,Mechanical,,MEDIUM,,Manikandan,Production,No,ON,,,,,No,,
100 TON CURING PRESS  - 19,PobcuringLine-1,ETL-GPD-SRT-PCUR-1,,100MOTPRE19,06--19,Curing press,Non AMC,Hyd-Elec,Hydraulic press,HIGH,,Sundaram,Deleted,No,ON,,15-Feb-2024,,,No,,
100 TON CURING PRESS - 15,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE15,06--19,Curing press,Non AMC,Mech-Elec,Hydraulic press,HIGH,,Manikandan,Production,Yes,ON,,18-Jun-2026,"BI Monthly,06--19",20-Aug-2026,No,,
100 TON CURING PRESS -10,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE10,06--13,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,ON,,03-Jun-2026,,05-Aug-2026,No,,
100 TON CURING PRESS -11,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE11,06--14,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,ON,,04-Jun-2026,"BI Monthly,06--14",06-Aug-2026,No,,
100 TON CURING PRESS -12,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE12,06--15,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,ON,,05-Jun-2026,,07-Aug-2026,No,,
100 TON CURING PRESS -13,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE13,06--17,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,OFF,,16-Jun-2026,,18-Aug-2026,No,,
100 TON CURING PRESS -14,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,,100MOTPRE14,06--18,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,OFF,,17-Jun-2026,,19-Aug-2026,No,,
100 TON CURING PRESS -2,PobcuringLine-1,ETL-GPD-SRT-PCUR-1,,100MOTPRE02,06--02,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,ON,,01-Aug-2026,,,No,,
100 TON CURING PRESS -3,PobcuringLine-1,ETL-GPD-SRT-PCUR-1,,100MOTPRE03,06--03,Curing press,Non AMC,Hyd-Elec,Hydraulic press,MEDIUM,,Manikandan,Production,Yes,ON,,08-Jun-2026,"BI Monthly,06--03",10-Aug-2026,No,,
