1: SM_ID,2: SM_VERSION,3: SM Creation Date,4: Facility,5: Facility Code,6: Equipment,7: Equipment Code,8: SM Description,9: SM Category,10: Nature of Issue,11: Owner,12: SM Trigger,13: SM Status,14: Facility Shift,16: Next Schedule Date,17: Checklist Mechanical,18: Checklist Electrical,19: Checklist Instrument,20: Checklist Others
UTL--SM000035,1,2021-09-23,Coolingtowers,ETL-GPD-UTL-CT,COOLING TOWER-02,COOTOW05,MONTHLY PLAN,Preventive maintenance,Mech-Elec,Maintenance-IPT,TBM,Active,,07-Sep-2026,0,0,0,0
UTL--SM000036,1,2021-09-23,Coolingtowers,ETL-GPD-UTL-CT,COOLING TOWER-03,COOTOW06,MONTHLY PLAN,Preventive maintenance,Mech-Elec,Maintenance-IPT,TBM,Active,,06-Oct-2026,0,0,0,0
UTL--SM000038,1,2021-09-23,DieselGenerators,ETL-GPD-UTL-DG,DIESEL GENERATOR-40 KVA,40DGSET01,MONTHLY PLAN,Preventive maintenance,Mech-Elec,Maintenance-IPT,TBM,Active,,03-Sep-2026,0,0,0,0
TUB--SM000028,1,2021-10-25,TubeSection,ETL-GPD-TUB,"EXTRUDER 6""",6EXT01,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,11-Sep-2026,0,0,0,20
TUB--SM000034,1,2021-10-25,TubeSection,ETL-GPD-TUB,VACUUM PUMP - 15 HP,VACPUM01,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,18-Sep-2026,0,0,0,0
TUB--SM000035,1,2021-10-25,TubeSection,ETL-GPD-TUB,VACUUM PUMP - 10 HP,VACPUM02,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,19-Sep-2026,0,0,0,0
TUB--SM000036,1,2021-10-25,TubeSection,ETL-GPD-TUB,POWER PACK-1,POWPAK29,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,19-Sep-2026,0,0,0,10
TUB--SM000037,1,2021-10-25,TubeSection,ETL-GPD-TUB,POWER PACK-2,POWPAK30,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,19-Sep-2026,0,0,0,10
MIX--SM000026,1,2021-10-25,MixingSection,ETL-GPD-MIX,KNEADER  - 35 LTRS,35KNE01,Monthly plan,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,09-Sep-2026,0,0,0,19
UTL--SM000042,1,2021-11-24,Utilities,ETL-GPD-UTL,BOILER 8 TON,BOI01,WEEKLY PLAN,Preventive maintenance,Mech-Elec,Manikandan,TBM,Active,,06-Sep-2026,0,0,0,0
UTL--SM000053,1,2023-06-30,Coolingtowers,ETL-GPD-UTL-CT,COOLING TOWER-01,COOTOW04,BI Monthly - COOLING TOWER-01,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,11-Oct-2026,0,0,0,0
UTL--SM000054,1,2023-06-30,Coolingtowers,ETL-GPD-UTL-CT,COOLING TOWER,COOTOW01,BI Monthly - Cooling tower,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,11-Oct-2026,0,0,0,0
TUB--SM000064,1,2023-06-30,TubeSection,ETL-GPD-TUB,SPLICING MACHINE - 01,SPLMAC01,BI Monthly - TS-108-04 SPLICING M/C,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,18-Oct-2026,0,0,0,9
TUB--SM000065,1,2023-06-30,TubeSection,ETL-GPD-TUB,SPLICING MACHINE - 04,SPLMAC02,BI Monthly - TS-108-03 SPLICING M/C,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,18-Oct-2026,0,0,0,9
TUB--SM000066,1,2023-06-30,CuringPress,ETL-GPD-TUB-CUR,"30"" CURING PRESS - TUBE  HYDRAULIC WITH 3 CAVITIES",30PRE01,"BI Monthly - 30""  CURING PRESS (20-02)",Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,16-Sep-2026,0,0,0,71
TUB--SM000067,1,2023-06-30,Mill,ETL-GPD-TUB-MILL,"MIXING MILL - 42""-1",42MIL06,"BI Monthly - MIXING MILL - 42""-1",Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,04-Oct-2026,0,0,0,18
TUB--SM000068,1,2023-06-30,Mill,ETL-GPD-TUB-MILL,"MIXING MILL - 42""-2",42MIL07,"BI Monthly - MIXING MILL - 42""-2",Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,04-Oct-2026,0,0,0,18
TUB--SM000069,1,2023-06-30,CuringPress,ETL-GPD-TUB-CUR,"30"" CURING PRESS - TUBE  HYDRAULIC WITH 3 CAVITIES",30PRE01,BI Monthly - PRETM-04 ABC (TUBE CURING),Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,16-Oct-2026,0,0,0,71
TUB--SM000070,1,2023-06-30,CuringPress,ETL-GPD-TUB-CUR,"38""CURING PRESS - TUBE - HYDRAULIC WITH 4 CAVITIES",38PRE01,BI Monthly - PRETM-02 AB (TUBE CURING),Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,25-Oct-2026,0,0,0,10
TUB--SM000072,1,2023-06-30,TubeSection,ETL-GPD-TUB,"6"" HOT FEED EXTRUDER",6EXT01TP,BI Monthly - TUBE EXTRUDER,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,04-Oct-2026,0,0,0,0
MIX--SM000028,1,2023-11-03,MixingSection,ETL-GPD-MIX,BALE CUTTER,BALCUT01,Monthly,Preventive maintenance,Mech,pavalavannan,TBM,Active,,06-Sep-2026,0,0,0,4
MIX--SM000041,1,2023-11-03,InterMixerLine,ETL-GPD-MIX-INTMX,INTER MIXER - GK 50 BANBURY,GK50BAN01,Monthly,Preventive maintenance,Mech,pavalavannan,TBM,Active,,13-Sep-2026,0,0,0,18
MIX--SM000042,1,2023-11-03,MixingSection,ETL-GPD-MIX,BUCKET CONVEYOR,BUCON01,Monthly,Preventive maintenance,Mech,pavalavannan,TBM,Active,,20-Sep-2026,0,0,0,17
MIX--SM000043,1,2023-11-03,Mill,ETL-GPD-MIX-MILL,"MIXING MILL - 60""-1",60MIL01,Monthly,Preventive maintenance,Mech,pavalavannan,TBM,Active,,13-Sep-2026,0,0,0,21
MIX--SM000044,1,2023-11-03,Mill,ETL-GPD-MIX-MILL,"MIXING MILL  - 60""-2",60MIL02,Monthly,Preventive maintenance,Mech,pavalavannan,TBM,Active,,20-Sep-2026,0,0,0,21
MIX--SM000045,1,2023-11-03,MixingSection,ETL-GPD-MIX,BATCH OFF UNIT Auto,BATOFF01,Monthly,Preventive maintenance,Mech,,TBM,Active,,27-Sep-2026,0,0,0,17
MIX--SM000046,1,2023-11-03,Mill,ETL-GPD-MIX-MILL,"MIXING MILL 48""",48MIL03,Monthly,Preventive maintenance,Mech,,TBM,Active,,27-Sep-2026,0,0,0,17
IPT--SM001535,1,2024-02-21,IndustrialPneumaticTyres,ETL-GPD-IPT,BEAD FILLERING MACHINE,FILMAC01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,20-Sep-2026,0,0,0,4
IPT--SM001537,1,2024-02-21,IndustrialPneumaticTyres,ETL-GPD-IPT,HOT WATER CIRCULATION SYSTEM,GENHOT01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,27-Sep-2026,0,0,0,0
IPT--SM001539,1,2024-02-21,IndustrialPneumaticTyres,ETL-GPD-IPT,BEAD WINDING MACHINE,BEAWIN01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,20-Sep-2026,0,0,0,19
IPT--SM001545,1,2024-02-21,IndustrialPneumaticTyres,ETL-GPD-IPT,CHAFFER SLITTING MACHINE,SLIMAC01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,10-Sep-2026,0,0,0,0
IPT--SM001546,1,2024-02-21,IndustrialPneumaticTyres,ETL-GPD-IPT,"EXTRUDER - 8"" HOT FEED",8EXTHOT01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,13-Sep-2026,0,0,0,38
IPT--SM001548,1,2024-02-21,Mill,ETL-GPD-IPT-MILL,"MIXING MILL - 42""",42MIL01P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,13-Sep-2026,0,0,0,29
IPT--SM001550,1,2024-02-21,Mill,ETL-GPD-IPT-MILL,MIXING MILL - 42,42MIL02P,Monthly,Preventive maintenance,Mech,IPT_MIX_ENGG,TBM,Active,,06-Sep-2026,0,0,0,29
IPT--SM001560,1,2024-02-23,Curingline-1,ETL-GPD-IPT-CUR,"30"" CURING PRESS - 1 (20-02)",30PRE01P,Bi Monthly PM-20-02,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,06-Oct-2026,0,0,0,0
IPT--SM001561,1,2024-02-23,Curingline-1,ETL-GPD-IPT-CUR,30'' CURING PRESS -2 (20-32),30PRE02P,Bi Monthly PM-20-32,Preventive maintenance,Mech-Elec,IPT_MIX_ENGG,TBM,Active,,12-Oct-2026,0,0,0,0
SRT--SM001936,1,2024-03-20,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,100 TON CURING PRESS- 17,100MOTPRE17,BI Monthly (06--17),Preventive maintenance,Mech,Manikandan,TBM,Active,,20-Oct-2026,0,0,0,20
SRT--SM001937,1,2024-03-20,PobcuringLine-2,ETL-GPD-SRT-PCUR-2,100 TON CURING PRESS- 18,100MOTPRE18,BI Monthly (06--18),Preventive maintenance,Mech,Manikandan,TBM,Active,,21-Oct-2026,0,0,0,20
